state-province,web_pages,alpha_two_code,country,name,domains,
null,http://www.cvru.ac.in/,IN,India,Dr. C.V. Raman University,cvru.ac.in,
null,http://www.da-iict.org/,IN,India,Dhirubhai Ambani Institute of Information and Communication Technology,da-iict.org,
null,http://www.darulhuda.com/,IN,India,Darul Huda Islamic University,darulhuda.com,
null,http://www.davuniversity.org/,IN,India,Dav University,davuniversity.org,
null,http://www.davv.ac.in/,IN,India,Devi Ahilya University of Indore,davv.ac.in,
null,http://www.dbatechuni.org/,IN,India,Dr. Babasaheb Ambedkar Technological University,dbatechuni.org,
null,http://www.dbskkv.org/,IN,India,Konkan Agricultural University,dbskkv.org,
null,http://dbs.tn.nic.in/tnau/,IN,India,Tamil Nadu Agricultural University,dbs.tn.nic.in,
null,http://www.dceonline.net/,IN,India,Delhi College of Engineering (DCE),dceonline.net,
null,http://www.ddugu.edu.in/,IN,India,Deen Dayal Upadhyay Gorakhpur University,ddugu.edu.in,
null,http://www.deccancollegepune.ac.in/,IN,India,Deccan College Postgraduate and Research Institute,deccancollegepune.ac.in,
null,http://www.dei.ac.in/,IN,India,Dayalbagh Educational Institute,dei.ac.in,
null,http://www.dibru.ernet.in/,IN,India,Dibrugarh University,dibru.ernet.in,
null,http://www.dravidianuniversity.ac.in/,IN,India,Dravidian University,dravidianuniversity.ac.in,
null,http://www.du.ac.in/,IN,India,University of Delhi,du.ac.in,
null,http://www.dypatiluniversity.org/,IN,India,Dr. D.Y. Patil University,dypatiluniversity.org,
null,http://www.eiilmuniversity.ac.in/,IN,India,Eiilm University,eiilmuniversity.ac.in,
null,http://www.fatimacollege.net/,IN,India,Fatima mata national college kollam kerala,fatimacollege.net,
null,http://fri.icfre.gov.in/,IN,India,Forest Research Institute Dehradun,fri.icfre.gov.in,
null,http://www.gbpuat.ac.in/,IN,India,Govind Ballabh Pant University of Agriculture and Technology,gbpuat.ac.in,
null,http://www.ggu.ac.in/,IN,India,Guru Ghasidas University,ggu.ac.in,
null,http://www.gipe.ernet.in/,IN,India,Gokhale Institute of Politics and Economics,gipe.ernet.in,
null,http://www.gitam.edu/,IN,India,Gandhi Institute of Technology and Managment,gitam.edu,
null,http://www.gju.ernet.in/,IN,India,Guru Jambeshwar University,gju.ernet.in,
null,http://www.gkvharidwar.org/,IN,India,Gurukula Kangri University,gkvharidwar.org,
null,http://www.gnduonline.org/,IN,India,Guru Nanak Dev University,gnduonline.org,
null,http://www.government.ind.in/,IN,India,Global Open University , Nagaland,government.ind.in,
null,http://www.gtu.ac.in/,IN,India,Gujarat Technological University Ahmedabad,gtu.ac.in,
null,http://www.gujaratuniversity.org.in/,IN,India,Gujarat University Ahmedabad,gujaratuniversity.org.in,
null,http://www.gulbargauniversity.kar.nic.in/,IN,India,Gulbarga University,gulbargauniversity.kar.nic.in,
null,http://www.gu.nic.in/,IN,India,Gauhati University,gu.nic.in,
null,http://www.gurukuluniversity.org/,IN,India,Gurukul University,gurukuluniversity.org,
null,http://hau.ernet.in/,IN,India,CCS Haryana Agricultural University,hau.ernet.in,
null,http://www.hau.ernet.in/,IN,India,Chaudhary Charan Singh Haryana Agricultural University,hau.ernet.in,
null,http://hillagric.ernet.in/,IN,India,Himachal Pradesh Agricultural University,hillagric.ernet.in,
null,http://www.hnbgu.ac.in/,IN,India,Hemwati Nandan Bahuguna Garhwal University,hnbgu.ac.in,
null,http://www.hnluraipur.com/,IN,India,Hidayatullah National Law University, Raipur,hnluraipur.com,
null,http://www.hostindia.com/srmc/,IN,India,Sri Ramachardra Medical College and Research Institute,hostindia.com,
null,http://hpuniv.nic.in/,IN,India,Himachal Pradesh University,hpuniv.nic.in,
null,http://www.iari.ernet.in/,IN,India,Indian Agricultural Research Institute,iari.ernet.in,
null,http://www.iaseduniv.org/,IN,India,IASE (Institute of Advanced Studies) Deemed University,iaseduniv.org,
null,http://www.icfai.org/,IN,India,ICFAI University,icfai.org,
null,https://www.iudehradun.edu.in/,IN,India,ICFAI University, Dehradun,iudehradun.edu.in,
null,https://www.iutripura.edu.in/,IN,India,ICFAI University, Tripura,iutripura.edu.in,
null,https://www.iusikkim.edu.in/,IN,India,ICFAI University, Sikkim,iusikkim.edu.in,
null,https://www.iumizoram.edu.in/,IN,India,ICFAI University, Mizoram,iumizoram.edu.in,
null,https://www.iumeghalaya.edu.in/,IN,India,ICFAI University, Meghalaya,iumeghalaya.edu.in,
null,https://www.iujharkhand.edu.in/,IN,India,ICFAI University, Jharkhand,iujharkhand.edu.in,
null,https://www.iunagaland.edu.in/,IN,India,ICFAI University, Nagaland,iunagaland.edu.in,
null,https://www.iujaipur.edu.in/,IN,India,ICFAI University, Jaipur,iujaipur.edu.in,
null,https://www.iuraipur.edu.in/,IN,India,ICFAI University, Raipur,iuraipur.edu.in,
null,https://www.iuhimachal.edu.in/,IN,India,ICFAI University, Himachal Pradesh,iuhimachal.edu.in,
null,https://www.ifheindia.org/,IN,India,ICFAI University, Hyderabad,ifheindia.org,
null,http://www.igau.edu.in/,IN,India,Indira Gandhi Agricultural University,igau.edu.in,
null,http://www.igidr.ac.in/,IN,India,Indira Gandhi Institute of Development and Research,igidr.ac.in,
null,http://www.igims.org/,IN,India,Indira Gandhi Institute of Medical Sciences,igims.org,
null,http://www.ignou.ac.in/,IN,India,Indira Gandhi National Open University,ignou.ac.in,
null,http://www.iiita.com/,IN,India,Indian Institute of Information Technology,iiita.com,
null,http://www.iiitmk.ac.in/,IN,India,Indian Institute of Information Technology and Management - Kerala,iiitmk.ac.in,
null,http://www.iiitm.ac.in/,IN,India,Indian Institute of Information Technology and Management - Gwalior,iiitm.ac.in,
null,http://www.iiitd.ac.in/,IN,India,Indraprastha Institute of Information Technology, Delhi,iiitd.ac.in,
null,www.isquareit.ac.in/,IN,India,International Institute of Information Technology, Pune,squareit.ac.in,
null,www.iiit-bh.ac.in/,IN,India,International Institute of Information Technology, Bhubaneswar,iiit-bh.ac.in,
null,www.iiitb.ac.in/,IN,India,International Institute of Information Technology, Bangalore,iiitb.ac.in,
null,http://www.iimtrichy.ac.in/,IN,India,Indian Institute of Management, Tiruchirappalli,iimtrichy.ac.in,
null,http://www.iimtrichy.ac.in/,IN,India,Indian Institute of Information Technology, Guwahati,iiitg.ac.in,
null,http://iiitvadodara.ac.in/,IN,India,Indian Institute of Information Technology, Vadodara,iiitvadodara.ac.in,
null,http://iiitkota.ac.in/,IN,India,Indian Institute of Information Technology, Kota,iiitkota.ac.in,
null,http://www.iipsindia.org/,IN,India,International Institute for Population Sciences,iipsindia.org,
null,http://www.iisc.ernet.in/,IN,India,Indian Institute of Science,iisc.ernet.in,
null,http://www.iitb.ac.in/,IN,India,Indian Institute of Technology, Bombay,iitb.ac.in,
null,http://www.iitd.ernet.in/,IN,India,Indian Institute of Technology, Delhi,iitd.ernet.in,
null,https://iitgn.ac.in/,IN,India,Indian Institute of Technology, Gandhinagar,iitgn.ac.in,
null,http://www.iitg.ernet.in/,http://www.iitg.ac.in/,IN,India,Indian Institute of Technology, Guwahati,iitg.ernet.in,iitg.ac.in,
null,http://www.iith.ac.in/,IN,India,Indian Institute of Technology, Hyderabad,iith.ac.in,
null,http://www.iitk.ac.in/,IN,India,Indian Institute of Technology, Kanpur,iitk.ac.in,
null,http://www.iitkgp.ernet.in/,IN,India,Indian Institute of Technology, Kharagpur,iitkgp.ernet.in,
null,http://www.iitm.ac.in/,IN,India,Indian Institute of Technology, Madras,iitm.ac.in,
null,https://www.mitindia.edu/en/,IN,India,Madras Institute of Technology,mitindia.edu,
null,http://www.iitr.ac.in/,IN,India,Indian Institute of Technology, Roorkee,iitr.ac.in,
null,http://www.iitp.ac.in/,IN,India,Indian Institute of Technology, Patna,iitp.ac.in,
null,http://www.iiti.ac.in/,IN,India,Indian Institute of Technology, Indore,iiti.ac.in,
null,http://www.iitj.ac.in/,IN,India,Indian Institute of Technology, Jodhpur,iitj.ac.in,
null,http://www.iksvv.com/,IN,India,University of Music and Fine Arts,iksvv.com,
null,http://www.ilidelhi.org/,IN,India,Indian Law Institue,ilidelhi.org,
null,http://www.indusuni.ac.in/,IN,India,Indus University,indusuni.ac.in,
null,http://www.integraluniversity.ac.in/,IN,India,Integral University,integraluniversity.ac.in,
null,http://www.ipu.ac.in/,IN,India,Guru Gobind Singh Indraprastha University,ipu.ac.in,
null,http://isbm.org.in/,IN,India,Indian School of Business Management and Administration,isbm.org.in,
null,http://www.isical.ac.in/,IN,India,Indian Statistical Institute,isical.ac.in,
